Address,Balance_28115058,Balance_USD_28115058,Balance_31244000,Balance_USD_31244000
0xa0ecf3579c079c4e825a86b32033d6250833467a,25919772.1001,25919772.1001,26285031.6372,26285031.6372
0x4be8ba6b28e45e6b5d32120c10f663aa36955ba2,33836953.7801,33836953.7801,25326503.6695,25326503.6695
0xb95d724534851f5c390c716a8e1acafebcc4011c,12089374.2139,12089374.2139,22305392.8577,22305392.8577
0xd55927c178320df61bc5f878a2bde717ecccc61d,4786733.9626,4786733.9626,4786733.9626,4786733.9626
0x0d0707963952f2fba59dd06f2b425ace40b492fe,6117843.7667,6117843.7667,3992712.7284,3992712.7284
0xc29414c5605b8aa31a31ee29b386d1db846016fd,698387,698387,575326.88,575326.88
0x7f838d8f3339f99cf6730d8028c2b44e8de3ae84,174398.4358,174398.4358,174398.4358,174398.4358
0x70f42bbaa6096da39806ada6afe87df960b7045e,154212.9169,154212.9169,154212.9169,154212.9169
0xdaedbddac9b3cb88d163271c851ad8564e12bf82,47538.9921,47538.9921,134047.1199,134047.1199
0xcd83d6495a80a4e58ddea4d19248d967634cbf84,103292.1138,103292.1138,103292.1138,103292.1138
0x0d26b7daf157bdf9e9dc0128d45bfd2b4209fc3d,79141.5057,79141.5057,79141.5057,79141.5057
0xf5e1a5f15282cc5dea685ac0b618a627bf776cac,74495,74495,74495,74495
0xc6eaeb73eb9a9428a5b3214e3b6562fc3477e189,52689.9188,52689.9188,52689.9188,52689.9188
0xda9d8227389146ea9692dfeccb2fbebc5689e373,2178.4883,2178.4883,42329.1433,42329.1433
0x87619a886b34d48604144da05f446b290e2d66fa,7879.1008,7879.1008,40117.0874,40117.0874
0x2feb0d206f7e7de5cb777769201948433dc99a30,36642.7823,36642.7823,36642.7823,36642.7823
0x5ba19d656b65f1684cfea4af428c23b9f3628f97,34003,34003,34003,34003
0x4f226cbb5991e4666106b33010f48e2df2ad3d81,26.1474,26.1474,34000.9676,34000.9676
0xb90d8206feb78c57d34035aa6b713dcb865b0051,32020,32020,32020,32020
0x60b8e23f3d3a11cd7556a88ab22f1e177a990cdd,0,0,27472.9588,27472.9588
0x7e837f20c84a343d86a6b4922446d9f2b0a8b57a,31.8249,31.8249,24761.6281,24761.6281
0x578723ddbf13a5247d943a4ebea1b267d4cdd0cb,106466.464,106466.464,20544.2768,20544.2768
0xab722bedfecd3bd2fae930c02e23ca63c25a0411,20000,20000,20000,20000
0xcac8f624fb4c84f6725fc229b39a2bd8cc5a13f2,0,0,15159.6363,15159.6363
0x680d66ad862a01e6f878e250a61e04768f2512bc,0,0,13682.2068,13682.2068
