Address,Balance_28115058,Balance_USD_28115058,Balance_31244000,Balance_USD_31244000
0x7cc549cdef7248c11a84d718fd25eafb57d8d614,225399,225399,1115758.195,1115758.195
0xe01502db14929b7733e7112e173c3bcf566f996e,250987.0124,250987.0124,263183.4036,263183.4036
0xa79726d21d16e4d6143b0c99aa57526b08b73e64,0,0,205878.9374,205878.9374
0x3a0c4d87bde442150779d63c1c695d003184df52,690542.4538,690542.4538,155486.3599,155486.3599
0xd31c3949c31ba5a1e554563ccfcba32a887c6215,0,0,101373.6817,101373.6817
0x4ab31f2f62ef158d01dea9fcd6b6a446a02222b7,0.507485158954140741,0.507485158954140741,84821.2727,84821.2727
0xaae953cb95536301e7e32908301eb5ccbef98c11,0.000000000303560444,0.000000000303560444,81282.6445,81282.6445
0x4b2343ccf2f882942514084f29bd92950752aab3,70265.0774,70265.0774,79459.1544,79459.1544
0x895eee677eedfa433f63bfccea8b94a999e0bcbb,72976.5985,72976.5985,72976.5985,72976.5985
0x08acce9f2eef34a5728ecc1a70d0e712092d6c06,22754.0962,22754.0962,66860.9037,66860.9037
0x54bcd31ca05680f24f9ad644187e06c5deaec649,65709.6583,65709.6583,65709.6583,65709.6583
0x784adba4b359b6cf7a795632fd8df764cb828315,58172.1992,58172.1992,58172.1992,58172.1992
0x48f4bcce9fe9207ccd32ed83a380dd969f1aed61,55518.6553,55518.6553,55518.6553,55518.6553
0x3fcefbf72881fd01298beb502f6432e432ac8457,48471.6968,48471.6968,48471.6968,48471.6968
0x4af68ad33eb03960ce146d4ecfba8f583d4a7ad8,16654.5091,16654.5091,46731.5482,46731.5482
0x1908b60895c9008362a660a9245df2822a2c7552,41828.8138,41828.8138,41828.8138,41828.8138
0xda64f9053a971531a75071a729a6432fb65ed60d,70303.3432,70303.3432,41237.2848,41237.2848
0xbea42217ee46a3efc408293fc4f598efaee036be,37022,37022,37022,37022
0x4e14953bf829f3c794c8c48e3d3f11d2eb1ca7ae,0,0,36736.3044,36736.3044
0xd297ffb5056477d62bb1295a5457801c3fb17de2,36388.1966,36388.1966,36388.1966,36388.1966
0x6f44a225c76ed5e0bc0a1345caf82e1a2edb2518,36225.681,36225.681,34725.681,34725.681
0x2fde00e74a286925597e6067753ea28faa6f595f,11913.6005,11913.6005,34462.9029,34462.9029
0x77e4a87fb38ffeb76359d01f9192b0c778d527a9,0,0,34064.2328,34064.2328
0x8c36ede15c5e4b0e1f9764351a7a7a0037c5e103,10591.8297,10591.8297,33589.3217,33589.3217
0x15640209c2c4d22a0cc75207187ea1cfba2b3c7a,32503.968,32503.968,32503.968,32503.968
0xc80005ab8ea04ce48c535272a5f60476d3ba3475,31463.4029,31463.4029,31463.4029,31463.4029
0xfe637b6815f020bae66387e0f44fde2e11241e15,30256.3562,30256.3562,30256.3562,30256.3562
0x17a749d259fcd7c1518e5fba0e89078794d7d285,26172.0681,26172.0681,29301.2846,29301.2846
0xbdf049a1e358c599eaed154858654b329b284259,27829.611,27829.611,27829.611,27829.611
0x35ea8489c2bd9ef71fa0061622431f21f817b25e,17.0476,17.0476,27565.6034,27565.6034
0x6ca68d6df270a047b12ba8405ec688b5df42d50c,77560.2825,77560.2825,27560.2825,27560.2825
0x6618244141c824210dbc8ec9a95c9221c576470f,1749.1704,1749.1704,26179.642,26179.642
0xecc034fda1bb6124d26058a386954d531d50655f,0,0,25749.3542,25749.3542
0xc9a6d3b838d3d0e3279f1069fafafe8657d5e3c0,25079.233,25079.233,25079.233,25079.233
0xc58759219b9b9739ec6f6ebfe78881c0fe693cc0,24290.1865,24290.1865,24518.9071,24518.9071
0x6ffbc344188c05b840bdb1751de3e2c596813b1c,0,0,22646.4565,22646.4565
0xc76ab66596c53a8f72148a9387886e52116654c6,22571.5075,22571.5075,22571.5075,22571.5075
0x4fd3c553c1d29c26b83178ae25668312ef3a42f5,0,0,22432.5098,22432.5098
0x4322138fcd6fcd024e061c9176a8e0b00be3e1e7,21846.9441,21846.9441,21846.9441,21846.9441
0x6699d09ea4f47782e0dc9972e224d9c219baa306,21756.3128,21756.3128,21756.3128,21756.3128
0xfc3a0b4c09946f626646003ec6e9bbd1b8460881,0,0,21718.2233,21718.2233
0xef7885083273d6e46b86fb77ec36d4de308239ea,8027.4544,8027.4544,20724.6705,20724.6705
0x9b8cc5ef72e9cdc406b705077101d342b84254ae,0,0,20501.4517,20501.4517
0xf542fd23ed79f6a6904cc748c4f1c2bff53558d1,20385.4755,20385.4755,20385.4755,20385.4755
0x6333dd17adb9171bbdf7604292490d9b75847561,8367.9293,8367.9293,20182.1556,20182.1556
0x684f422130125f5b2584be2fa93f944ad89ab0c0,0,0,20146.8122,20146.8122
0x69379ec9d211e0860330472a5cc5bf1adbd86527,20000.7204,20000.7204,20001,20001
0xb5ac9a645559fb2a25bd18a98f5be962c9dbcec7,18728.4512,18728.4512,19838.8402,19838.8402
0x96172a042809e2c806ea746d3cd14fa7398d901e,18890.2828,18890.2828,18890.2828,18890.2828
0x1b5f7d5880e88bbdd6758ff174d99c1b9a2384f6,0,0,18012.4816,18012.4816
0x025bedd37006587d9f395c9d6d1b42d04557b14b,0,0,17807.0223,17807.0223
0x038acb9abd869bd86c93759626110fc63d11becf,0,0,17259.423,17259.423
0x1523a02c1454c2f94e4e79edcbe7d8efb09ccdde,16955.3046,16955.3046,16955.3046,16955.3046
0xf6f9d796a94ea5879ffceec8f644d65acd9dfe8a,16476.0653,16476.0653,16476.0653,16476.0653
0x4f70444291e4a4c79052d85e465f6749a0643f76,16346.377,16346.377,16144.377,16144.377
0xb6c010d11b096dab451031ca7a4f5ab5696cf37f,15876.4,15876.4,15876.4,15876.4
0x452425c0f5b7de0ea1e4ec16c1d1fce8d8ae8f17,15000.1791,15000.1791,15122.8734,15122.8734
0xeb7c0a9abeb77d75a714a3b7fbee7575e2633f15,0,0,15001,15001
0x2669182fe7d1b6049e61f97ce8c5863ba5313a79,14461.0081,14461.0081,14461.0081,14461.0081
0x7265f1cd104a9b324273a3802f439502c83eb67b,0,0,13958.0688,13958.0688
0x60c4b663d32fb9e1cbc36414f5d4e890a13d0462,0.347685463932382579,0.347685463932382579,13700.6253,13700.6253
0x8ad6ce8e15a2e1ad4f7d83714175c6c7444074bb,13373,13373,13373,13373
0x4e3c26a09a24830805ec1cffe22f5e0056cabb61,4524.9177,4524.9177,13311.4983,13311.4983
0x1a0b61e9a18d7c9e2f4dd05091727c1ba9648652,13259.1748,13259.1748,13259.1748,13259.1748
0x028f04c6c86c6b5d9ffc249be4a495e855e321a3,0,0,13213.6479,13213.6479
0xe5418b07f7842002d9d13e9dbb4c70c7666d750f,12955.7078,12955.7078,12955.7078,12955.7078
0x921c77aba4a1cd0268c3c2cec60cdf11b4282f70,4354.2697,4354.2697,12765.546,12765.546
0x22939bd1b54e4eba1664dcad09e5489c07ee0723,12090.3754,12090.3754,12090.3754,12090.3754
0xb5b4694524a1dadebea9427abddacb6d0ba26c46,0,0,11764.5542,11764.5542
0x85684d73db2b1432b35616e060487d28aca48edd,0,0,11676.7559,11676.7559
0xdc58500b27532ef37b1539d97a858322ceeef3d4,11585.8407,11585.8407,11585.8407,11585.8407
0xd42335929c84c04769f879792ceef29c2d9b3f42,0,0,11570.9033,11570.9033
0x6f651935e64c86891f4e12fff0145a819a634ac8,11544.1087,11544.1087,11544.1087,11544.1087
0x4077b8235282309c6dc453a73b3ec2777efc5267,0,0,11370.9092,11370.9092
0xadfdcb0c48cead3979b5663232fac20ed8eda189,11147.0531,11147.0531,11147.0531,11147.0531
0xb6c4188e6006bc2883319e36b81e7eadb0429758,11000,11000,11000,11000
0x5968c89e229e31afa2847f77e75f35901df13773,0,0,10838.5812,10838.5812
