Address,Balance_28115058,Balance_USD_28115058,Balance_31244000,Balance_USD_31244000
0xc5cfada84e902ad92dd40194f0883ad49639b023,496855.1917,496855.1917,810059.6957,810059.6957
0x7cc549cdef7248c11a84d718fd25eafb57d8d614,0,0,767306.2845,767306.2845
0x3ea9b0ab55f34fb188824ee288ceaefc63cf908e,954448.1234,954448.1234,467547.8246,467547.8246
0x245c106b90fbaf9641452b566ed2fecdedb81c36,0,0,400648.1221,400648.1221
0x80b3b96db63c623d1bd72d866b8ea5ea5fac73a6,251522.3953,251522.3953,251522.3953,251522.3953
0x49d95736fe7f1f32e3ee5defc26c95ba22834639,579558.6557,579558.6557,224602.9987,224602.9987
0x1b0483847b381ac06ea1daaa483f2cf5fc746b5a,212582.2913,212582.2913,212582.2913,212582.2913
0xa2ada734d1d76e3d689fdb0c676ceb95bfd6cacf,0,0,178319.4929,178319.4929
0x82e64f49ed5ec1bc6e43dad4fc8af9bb3a2312ee,32154.2442,32154.2442,174959.1001,174959.1001
0xc7d787a03589f440f29d6ce25f3c4cae9ff75a7c,0,0,155194.3806,155194.3806
0x0ce905922e4310300006513d2462737b281530bf,0,0,150000,150000
0xfb3381bdd5b2ed0b9c18dc1bfcb80246ae89e3c3,0,0,124829.2566,124829.2566
0x4077b8235282309c6dc453a73b3ec2777efc5267,0,0,115166.7291,115166.7291
0xaa7d5efc4bd08fc10c14e9d1e09ef961e7236e35,0,0,88264.8608,88264.8608
0x6139854ffa5c9fb2fa27ea1a6654eaeec88f8f8f,0,0,85000,85000
0x28840eae8bf59386c6812db8633ea483550df457,0.000000000946469114,0.000000000946469114,72522.2069,72522.2069
0x7ed344a6d73b771dff53c0cec4c70f081cacb360,0,0,62992.5672,62992.5672
0x5fbb7054e9b25ea4b993b3273cae920f9beafe3b,0,0,61105.6884,61105.6884
0xff392db3635c36b1d2aa23dbdb6a5fa0e18cec79,0,0,60000.1119,60000.1119
0x7a786bc576ba63fc5bf248b87763507884a83a0b,29.4964,29.4964,50145.2118,50145.2118
0x8b5f759e70002aeabe37e6728065003a541e1e61,50075.996,50075.996,50065.996,50065.996
0x4bdc62e5bdcbf2e1486f57537ac31de8d5b4bd28,46435.719,46435.719,48176.7116,48176.7116
0xb6768223895acc78efba06c28fdd8940f95a8ec2,40881.2348,40881.2348,44210.1736,44210.1736
0xb0c1b22766ee3179d6b93c4188516a99e9f081d3,36700,36700,36399,36399
0xbdeba482d2f8a664b4f055e46452eea9482e0484,0,0,33375.9873,33375.9873
0xc5b8129b411ef5f5be22e74de6fe86c3b69e641d,765680.3155,765680.3155,32089.6406,32089.6406
0x0456ba3d973df5723eb2f99f621736110bf1d66d,507.0833,507.0833,29721.9687,29721.9687
0xfa7bf14f76edb60a3e3b12536ef5e0e1ac13965e,1377.566,1377.566,29145.9436,29145.9436
0x3496957d7fd7f0cdbb2cd165882f64eb471068ac,23013.7631,23013.7631,27924.9075,27924.9075
0xb873bcf80afa89c2a9e5182f5792d64a03eb4311,0,0,26255.5094,26255.5094
0xe9378411fd8b298e472d799674ec5066af096fcd,26130.2468,26130.2468,26130.2468,26130.2468
0xb0c9c5b5211de3a75b61bb798887b76accd64193,0,0,25033.5793,25033.5793
0xc4aa5b4d4049324c09376d586482c7f8fb57542a,24377.8544,24377.8544,24377.8544,24377.8544
0xc97d37434766eec69d606c9038abaf8a6428e7da,22134.9337,22134.9337,22104.2088,22104.2088
0x5e3ab09a41fa62f2be3b7b33cf904318e421df7b,22000.0745,22000.0745,22000.0745,22000.0745
0x92f161b2d642afd7fe98d2539dd4f23c4b72d84f,21141.7025,21141.7025,21141.7025,21141.7025
0x82723f6c0b32f28ddc2006b9cdbca6cee0ad957a,280867.2478,280867.2478,19917.6535,19917.6535
0x1a0d0f85d9630190739ef57c2f49bf823430cddc,0,0,18707.5635,18707.5635
0x6d754bc9215fd95dd68598cfcee6136ebf540a2c,0,0,17236.4872,17236.4872
0xd9e440456a84191f4513c8b295bae7f703dbe8d7,0,0,16328.6035,16328.6035
0xcde46eb37f585bde308e21baeb02e47b40ae3043,0,0,16244.0662,16244.0662
0xed32cf176a6d0e8687b39819609f3573f08cd9a7,15416.9235,15416.9235,15416.9235,15416.9235
0x3c422448fc8a94f4165557284ef6fcd8491f31d5,31031.3668,31031.3668,14220.0151,14220.0151
0xae2e513b7904cee5e1b91686f321adf2a2bda50a,10009.6022,10009.6022,13567.4052,13567.4052
0x63df63f88396c19df81f9ca34d792ad7a2a82c1c,12680.5777,12680.5777,12680.5777,12680.5777
0x4bf419634bbcfbba096f780cff10858ac2cb6dda,12630.8747,12630.8747,12630.8747,12630.8747
0x484f247670764fd55a17de3aa499cbeb92f8d3ea,12448.2912,12448.2912,12448.2912,12448.2912
0x7f5427f99f2177ab3b8fa2342fd70ea5cf0c91d8,12194.3064,12194.3064,12194.3064,12194.3064
0xb26712138972a5f773e84992539b542a67b4c4cc,11928.5132,11928.5132,11928.5132,11928.5132
0xd016fcdfb3bd8d640cf355bfacfd3bb1955543d5,0,0,11444.3457,11444.3457
0x206187589476ed66b14d2615df4402818e29d6b3,0,0,11220.9332,11220.9332
0x2a149dc9a2d3517029209572c60f1c1c434656a2,11167.4019,11167.4019,11167.4019,11167.4019
0xdbb311a1a4f1c02989593ca70ba6e75300f9f12d,10581.4313,10581.4313,10581.4313,10581.4313
0xf0ef94b80bb0a2e6a62bbaa3dba27313f44561fc,0,0,10568.3674,10568.3674
0x4a95a1bd27bd98b4880a4ab38046bba479298065,10068.3208,10068.3208,10068.3208,10068.3208
0xef39bd3bd60becc69cf64a5f51dc0d0ffccdc315,2566.4648,2566.4648,9603.4949,9603.4949
0x385f0ff628412fbdefee1ebf88c7652abded02c1,9151.1001,9151.1001,9151.1001,9151.1001
0xad45f74009c9750598d663cda52459258fec5062,0,0,9103.6811,9103.6811
0xa47636f56e0638bc61fd40034bf84eff600d9a78,5000,5000,8872.0397,8872.0397
0xa8c0e39b646bf006631af6753b1a9d86e71b1f87,8796.1405,8796.1405,8796.1405,8796.1405
0xf63eca81d10aac9c426b9e9ee5f0531bc3d012c1,8418.0187,8418.0187,8418.0187,8418.0187
0xc295619e17dbc63ca217ea3a70b33ff62d8a3144,0,0,8405.8782,8405.8782
0x364b8bb863c1b969f17b2d3d3cad3cb65aa40488,8264.7627,8264.7627,8264.7627,8264.7627
0x2491debcdb9d74c9f8d28e2db303969306d780b7,0,0,8175.0685,8175.0685
0x92ae908d7bcf891ffa47ae10596e6a66cf43a77a,8155.4819,8155.4819,8155.4819,8155.4819
0xa1b0032d3928865a519aa23c090181248b9570af,0,0,7888.5073,7888.5073
0x8a83c86d4b1d8a9ea5ea82de267e6ed161643a54,7732.7318,7732.7318,7732.7318,7732.7318
0xec6495233997b36b2f7f2f56752895b2b24460f4,0.653565035614218503,0.653565035614218503,7712.8198,7712.8198
0x33fec2328c9466f9b84817090aea495bafcbf267,7520.636,7520.636,7520.636,7520.636
0xfa07e95fceb0427020b885859f817d0cac44ba36,7489.9226,7489.9226,7489.9226,7489.9226
0x025a9c987abc1d04f15335e0d2f8dde3e246a7ae,0,0,7400.8599,7400.8599
0x85684d73db2b1432b35616e060487d28aca48edd,0,0,7319.6092,7319.6092
0x3ba19985c5c7c8a39e0b3a815b87535bf29ebba4,7260.0656,7260.0656,7260.0656,7260.0656
0x05562fbdb88932db1438629d5596ba1a9902e83b,6745.7875,6745.7875,6745.7875,6745.7875
0xf3ac0f7930f253f5dbc2f617b5afec1519733a95,0,0,6711.7276,6711.7276
0x3ddb9162ab61919dbe6ccfb260f8efcffd9fbc94,0,0,6684.5549,6684.5549
0xb2fd520b6eb29d78c358e0094e588a61f519ff29,0,0,6343.7867,6343.7867
0xd02d8120907950844a5db69e2e527d3d111bb25c,6000,6000,6000,6000
0x11f115f94088d92b117a8bd557d8cb5370ca9d4b,0.097399032287000892,0.097399032287000892,5828.6912,5828.6912
0xb19fe973edd97e971534f6c46d96f2b109d3f1de,5823.6036,5823.6036,5823.6036,5823.6036
0x7f2e54d53258dc45b8581f11f924075146608d19,0,0,5565.6414,5565.6414
0xb92fd2a199c2c715011c53b2a35270f59cf0fdd2,0.15854654827266235,0.15854654827266235,5493.297,5493.297
0xd3bd42ec62e2b6fbe231901c35eee9865015e42c,0,0,5459.6653,5459.6653
0x63cea70701303237c87b74a132c51f1fc8b964f7,0,0,5444.1482,5444.1482
0x82efc24e55f9bf1cfc044dd06838c8f5be3fffb9,5374.642,5374.642,5374.642,5374.642
0x7f8cd1009ad4cd128e2a2329d70f459685bb70fb,5348.0969,5348.0969,5348.0969,5348.0969
0x4886795c08f036a53c549b846ee57b0fb158279c,0,0,5087.5413,5087.5413
0x52996fe909114a4dd15ada39d278829cc3ff4f70,5072.973,5072.973,5072.973,5072.973
0xe44799ef334df157e0f8e2855e5ebebdbc02b299,0,0,5006.1476,5006.1476
0xa32108c33456ac71c1ba5caebc27ec41020ceed8,5000,5000,5000,5000
0xa08e9ef26c58e69c47e2933caf128d29c2f91507,5000,5000,5000,5000
0x72b02179be67b96721fce970b933c835a150dd65,5000,5000,5000,5000
0x5f1a9993c47452c97d98a7cc7b0ad631375cbb86,4923.1618,4923.1618,4860.6438,4860.6438
0xe6a9d0539fabe0fda237c3c4bafeae2042b06e67,4822.4544,4822.4544,4822.4544,4822.4544
0x62799b3b97baac306498f721079f3a9405a91e41,4781.8079,4781.8079,4781.8079,4781.8079
0xef5bad176fb6319395e74b6e74caf43b0f5a613b,4593.6213,4593.6213,4593.6213,4593.6213
0x90cf01d9aad34ab09ad80be55debbf6751b6f524,1826.8959,1826.8959,4484.0979,4484.0979
0x236440981a5107beba360badef2e6f1b8f2ef90c,0,0,4362.5961,4362.5961
0x8bc8415e0dabf8b6ef30c64a5a3fc7011929c4cf,0,0,4348.8137,4348.8137
0x4a05f104417ea2063a8b02273d4ff523a7968be6,4311.0136,4311.0136,4311.0136,4311.0136
0xabdbf1361302b1c551307434d703bf743f4cda7a,0,0,4245.7438,4245.7438
0x9561da7ad34ce3f724480d995bf2cda656def751,4234.3761,4234.3761,4234.3761,4234.3761
0x9f26bda279d9bb5b590cb5f34a6716164680e26b,4166.422,4166.422,4166.422,4166.422
0x722e895a12d2a11be99ed69dbc1fedbb9f3cd8fe,4142.5227,4142.5227,4142.5227,4142.5227
0x93fda01cc21c7ef1689006dccb5bc1601f69a0d9,799.3857,799.3857,4006.1691,4006.1691
0xc088c2e12ec2a8cf116ee9da374e7a82d6933878,3953.6024,3953.6024,3953.6024,3953.6024
0x6b61e741c032b7ff66c0dfbdb332d44c68485897,0,0,3862.9417,3862.9417
0x849c37a029b38d3826562697ccc40c34477c6293,10569.4205,10569.4205,3822.9842,3822.9842
0xce6110f96f23372b776be03cb4a22ebe10c1d9d3,3759.9029,3759.9029,3759.9029,3759.9029
0x43484020ee4b06022ad57cbf8932f5c8aafc9d59,2491.7644,2491.7644,3591.7076,3591.7076
0x9f8f8106b85ab02783057a0b6d2d59f34e305171,0,0,3538.5105,3538.5105
0xd7e16aa1a98dc6c0680e210c6ec43428396754e2,0,0,3448.7329,3448.7329
0x3e163b691fa2b893eaa26b83b9eac07910f193fa,970.2178,970.2178,3303.4621,3303.4621
0x8e5f093ebfbfe7e8db16203f55e40032a5448afb,3219.0905,3219.0905,3219.0905,3219.0905
0xc1d1742bbb0c0dd61c9e4cfc137b59b1a8f55b90,0.01546524850381252,0.01546524850381252,3197.6565,3197.6565
0x6bd29811a0d0d2e2d668353df1d5b07a1103d5da,3133.2328,3133.2328,3133.2328,3133.2328
0x19223782ad6556b0de843156e968270e32a5c10c,3133.0127,3133.0127,3133.0127,3133.0127
0xf9646055538806cb4162ff0332b2248c584a7ca3,0,0,3087.8311,3087.8311
0xe91b4ed8fd89306f287f47080cc356c58c973cfe,3085.0948,3085.0948,3085.0948,3085.0948
0xb7b1cc940cc88640089028d4910de22e39e6d117,0,0,3082.7844,3082.7844
0x3a463ae77a386bc6645a27dc66af250041a214a2,3050.6319,3050.6319,3050.6319,3050.6319
0x183dbd71f4966a20d5d707aafa77e5ce7631fc4c,3018.2326,3018.2326,3018.2326,3018.2326
0xb8a167098f7dc5ea477302b493fd543f6af1be2c,0.000000000256599929,0.000000000256599929,3006.4116,3006.4116
0x54de248c41107fbfc7315521f34b540c61604ed9,0,0,3000,3000
0x8d19e374601663ce83567cab8b710c4c35917668,2989.6016,2989.6016,2989.6016,2989.6016
0x194f4a320cbda15a0910d1ae20e0049cdc50916e,790.7532,790.7532,2979.1379,2979.1379
0x8cf5b61655fc1d79b957f45c46941cb86e90bb9e,2977.2623,2977.2623,2977.2623,2977.2623
0x3ebd9b7ce99b5e993156283940847181ebb8cb47,2965.2088,2965.2088,2965.2088,2965.2088
0xc20420853caa5bc5c8ea359599ee27e74c7a65d4,0.000000000208607288,0.000000000208607288,2915.9051,2915.9051
0x80ccd8664598d681834b29be2e92e37aede6af1f,2841.141,2841.141,2841.141,2841.141
0x496b25b41b51006c99aa9f21e59954e7806b33c0,2832.5613,2832.5613,2832.5613,2832.5613
0x62c1dbd3a3045c772f638c181840aba3eddbe87d,2791.0878,2791.0878,2791.0878,2791.0878
0xdbe12c246a60f40a6378ef16471d98f124c8115a,0,0,2742.6063,2742.6063
0x2482b39fd280cc38b33679c4993cbe6e7dedcbdd,2721.1747,2721.1747,2721.1747,2721.1747
0x34cf360f0a33c524c0187fd0002d09df4b42b080,2619.2204,2619.2204,2619.2204,2619.2204
0x2e97778b97db81b62eb64103813e019f353537cd,2544.5175,2544.5175,2544.5175,2544.5175
0xac10e96be2b2f8ddb168716de8379db01e8887c7,0.258107518427684648,0.258107518427684648,2488.7202,2488.7202
0x587fb479dd54d5f2a1facb67ce15f0aa55b91e69,0,0,2427.2469,2427.2469
0x23f8665481fa2942ffe724e02e11af1ebf339bbd,2375.2674,2375.2674,2375.2674,2375.2674
0x87d90d83ad7feb0d4f072583813f24af211992fd,2343.084,2343.084,2343.084,2343.084
0xe3b329b4da6586c2765df88460773a7987c0c3b8,2340.4317,2340.4317,2340.4317,2340.4317
0x3e763ddade975acb652c97a017e41256f9e7a8e9,0,0,2336.8046,2336.8046
0x1a31c65958c02bb964e9c7dec5e3d08d516af2b5,2302.1403,2302.1403,2302.1403,2302.1403
0x6bca87d46c533949742898220eaf772059d547d2,2241.2018,2241.2018,2241.2018,2241.2018
0xc70fb72fd243d8bba8b48c877f3dce1632f653a0,2218.8766,2218.8766,2218.8766,2218.8766
0x5d8a5f18fddbc8b3193b1e6cb54d78094da7a473,0,0,2190.8612,2190.8612
0x73c8c3c357c9f7f61c3cfd76cba54d00b04f723e,0,0,2171.3414,2171.3414
0xc118c71f221d4208360aeb40ffdb2da4cd7ad5fe,2144.4227,2144.4227,2144.4227,2144.4227
0xc7acd1bb3d6fbedf29888a050971607c5cd940dd,0,0,2143.237,2143.237
0xd691bcb9f1f0707e9a1982b94881c510c9df5316,0,0,2134.2494,2134.2494
0x172ff17e137f470f1fa99a2f81a971fe996f24b5,0,0,2129.7627,2129.7627
0xdd08023fa5650fee24caabf8649f5cd92cff9ed7,2101.7067,2101.7067,2101.7067,2101.7067
0x3074cf20ecd1cfe96b3ee43968d0c426f775171a,2098.5321,2098.5321,2085.3277,2085.3277
0x7a0373a8789562dd3923d3c212e249e5e88723cf,1.7772,1.7772,2072.1584,2072.1584
0x5282e22182c6c4d35f3075f0577d6978a3c57698,2003.0168,2003.0168,2003.0168,2003.0168
0xc73010b40197ae61cf13f6cc4311da3b5671a00a,0,0,1998.9322,1998.9322
0x471f52e18009e5a36e6ce8dd2bf1bc34e58d7a11,0,0,1993.7243,1993.7243
0x1b0f03087e5cec8d1fccfa6014f1ca20160f402c,1988.1816,1988.1816,1988.1816,1988.1816
0x69c3a68d98d40ebe13d989815b50e1a7cf0db761,0,0,1978.0336,1978.0336
0xdd6271ebcdc529bf92949dcc3ecd725a4e25477f,1954.3288,1954.3288,1954.3288,1954.3288
0xf56e5f56a4d1c6c3719d22af399d4b84707657d1,1941.5331,1941.5331,1941.5331,1941.5331
0xd6169ba31d00457d98a8c2c4b6ceb95c33ac772b,1881.8046,1881.8046,1881.8046,1881.8046
0x9e21f1290a2f202003ff58472ab8a564c291f760,121.153,121.153,1874.2865,1874.2865
0x9dfa1f5436790711f027abf28addeb2a521edf04,0,0,1868.5558,1868.5558
0xd694dbb3316d66bc242b14c5a8e01380147aa367,1845.6719,1845.6719,1845.6719,1845.6719
0x080f6aed32fc474dd5717105dba5ea57268f46eb,1845.3265,1845.3265,1845.3265,1845.3265
