Address,Balance_28115058,Balance_USD_28115058,Balance_31244000,Balance_USD_31244000
0x7cc549cdef7248c11a84d718fd25eafb57d8d614,0.756155367234277185,0.756155367234277185,5170.9586,5170.9586
0x78a21c1d3ed53a82d4247b9ee5bf001f4620ceec,839.7685,839.7685,729.0695,729.0695
0x78f87cc02fa8a0ac98fbf66cebfb27260ecee60b,0,0,646.8705,646.8705
0xf758e719d88862f87585f20acc81417cae72df22,0.0000002,0.0000002,483.8702,483.8702
0xc63ab8c72e636c9961c5e9288b697ec5f0b8e1f7,1133.0406,1133.0406,336.4778,336.4778
0xbc132b3a5a345069846c5e6f49fe28fec01e7c47,141.7805,141.7805,314.6366,314.6366
0x6ddf1f5e106a274d311147fed969c1ffba05f809,217.5307,217.5307,217.5307,217.5307
0xe50fa9b3c56ffb159cb0fca61f5c9d750e8128c8,403.4632,403.4632,198.9065,198.9065
0xeab84868f6c8569e14263a5326ecd62f5328a70f,231.6317,231.6317,198.5279,198.5279
0x997f00485b238c83f7e58c2ea1866dfd79f04a4b,1743.0145,1743.0145,185.155,185.155
0xc0f9a35840c4e19d47dde00d7617f9a5f26b4a1a,0,0,178.1556,178.1556
0xa408f237587d2cbc461058974ed214f8888806a5,0.000000000979720525,0.000000000979720525,170.7533,170.7533
0xeb049f1ed546f8efc3ad57f6c7d22f081ccc7375,618.3953,618.3953,147.4946,147.4946
0x2913e812cf0dcca30fb28e6cac3d2dcff4497688,1430.5834,1430.5834,137.8876,137.8876
0xdd196550d074c7c702972c2c0419ef6899839ca4,0,0,125.554,125.554
0x864fcd9a42a5f6e0f76bc309ee26c8fab473fc3e,477.7097,477.7097,114.5953,114.5953
0x64623992a6f4189c677fad6593f9c108ee85c6dc,0,0,114.4417,114.4417
0x35820fda82041b358123eb9e714fb0936261d357,0,0,108.0442,108.0442
0x8a14e4af27e6e6fec7063a47982d8e300a3787fe,0,0,106.8634,106.8634
0x1507ae2c7db7c4a1078eb1b3847b4aa33cfc586a,0,0,100,100
0x04fc8679ed5475979f7d4930fedbd1c82e79db3a,1.0533,1.0533,77.0042,77.0042
0xbf57f59d35124f071001fc9185e5169a7c44da1b,0,0,73.4848,73.4848
0x6ed450e062c20f929cb7ee72fcc53e9697980a18,0.009488182069843402,0.009488182069843402,71.5192,71.5192
0x0e3dc2bcbfea84072a0c794b7653d3db364154e0,162.3437,162.3437,69.2325,69.2325
0x38bf30d3f1528bbd2bb8a242e9a0f4405affb8d0,0.000000000026053662,0.000000000026053662,63.9814,63.9814
0x15bfcdd8066f92916a67d1f293120d858c4b4582,0.002751860200260242,0.002751860200260242,63.2945,63.2945
0x4dbf6c1c046b927b43cc3cf9e6d2ff393a38aa98,2.8228,2.8228,62.9385,62.9385
0x80856b4bd314cc7c8c3956dd2377e4f966a362b4,19.9434,19.9434,59.1402,59.1402
0x28eb57a22fd804e3361f1187090eb2fc1bbd9bd6,55.6912,55.6912,55.6912,55.6912
0xab95d2cd70a80469985fafe7457de81498211ed4,0,0,54.0051,54.0051
0x6ca68d6df270a047b12ba8405ec688b5df42d50c,45.1413,45.1413,45.1413,45.1413
0x5979ca3bf65f59e103ebca3496c2304739695531,39.2699,39.2699,39.2699,39.2699
0x1e77990977bd723f4bfaefea68bf372462683fa2,24.3138,24.3138,39.0083,39.0083
0x33d24754fb5a17f677ff17728cfc65451b1b4dee,0,0,38.4289,38.4289
0x84b4f2c8e9bbf2379a4acb2ad144bbf5f88f9dbb,0,0,37.1986,37.1986
0x895eee677eedfa433f63bfccea8b94a999e0bcbb,33.6647,33.6647,33.6647,33.6647
0x6b27e75bffa03521fe692a170329ab2640aeaa2c,0,0,33.6095,33.6095
0xd56bc371f2d9aa017fe47a437b7c9f6d7cf5143c,27.7244,27.7244,27.7244,27.7244
0x39be7c95276954a6f7070f9baa38db2123691ed0,2109.0626,2109.0626,27.1014,27.1014
0x4e2332aeff32a22a23397f5aa86e7ebf9413eeb7,0,0,25.6389,25.6389
0x72e26ae54955de7c3440c270180f02468079710a,11.3511,11.3511,25.4676,25.4676
0xaa255130079681d944459b470c26aecb3b7a61bb,24.6567,24.6567,24.6567,24.6567
0x4c56f477bc79f79fe31ca2c339790657872a6227,0,0,20.8551,20.8551
0x301492818502419e10e6f82be9e0b54581180a4d,0,0,20.1367,20.1367
0x58e8e68d8f7c9ad80375320eb5212c11a1405445,0,0,19.8891,19.8891
0xa08e9ef26c58e69c47e2933caf128d29c2f91507,19.8158,19.8158,19.8158,19.8158
0x5180db0237291a6449dda9ed33ad90a38787621c,0,0,19.2674,19.2674
0x9293dfdd719ee2163f2e158e66ef75722ed712b4,4.4291,4.4291,18.8828,18.8828
0x2e7669f61ea77f02445a015fbdcfe2de47083e02,9.7312,9.7312,18.6258,18.6258
0x72bcfbcc6532c3bf73f0ef043b419f8d436fa826,0,0,17.8092,17.8092
0x916af1f7156e5abeb49be7c13bfffe75bacc916b,0,0,17.7583,17.7583
0xea66d5725f0c83968544cdb87cd9ed410272fe42,0,0,17.7088,17.7088
0xae1b990dd38d325882f1b9db7dee8dab7c916308,0,0,17.4104,17.4104
0x679f9c7961ba526e9955ddbb1488eca81272146c,0,0,17.1187,17.1187
0xc5b8129b411ef5f5be22e74de6fe86c3b69e641d,690.5468,690.5468,16.8844,16.8844
0xa1bea1ebbf9f7f2b09f2ec9e542eec48a6213144,15.8351,15.8351,15.8351,15.8351
0xbc33db535d7283f1eecdc33f40af7ee862303ccc,0,0,15.5343,15.5343
0xe7d46987b3e8fce0b2c8d2d9ab1f2ce204ce166d,0.00034921175534998,0.00034921175534998,15.4966,15.4966
0x068388a1213453003d1a4788a6d282c31da74e6f,0,0,15.189,15.189
0xe017dcc06bb48fa3281a07f235b16621085a143d,14.56,14.56,14.56,14.56
0x2d5f61b3efa11cf6150a57a04bb24063ba6b2bfd,14.4,14.4,14.4,14.4
0x7e29b546188e9b2f3206a8d6138ef2d6843cfe07,0,0,14.0648,14.0648
0x0176c481e5f7a4796ab11213937e5aa007705810,0,0,13.8672,13.8672
0x0c7be72e04d4afa9d848c7346f6984ed3f41e4e0,6.8275,6.8275,13.7993,13.7993
0x1e78016501f8b0260e3897ae9b2fe2e634975dde,13.4072,13.4072,13.4072,13.4072
0x6333dd17adb9171bbdf7604292490d9b75847561,0.500572808771562102,0.500572808771562102,13.1964,13.1964
0xadf036ffc79e57effc3b63ca6b164feb06d4834c,12.8917,12.8917,12.8917,12.8917
0x4b30dee67379906859397d0f5b82d7ae883ce3b6,0,0,12.5463,12.5463
0x13b0a18505a7c03aae841c527ecbe72836275e54,0,0,12.5336,12.5336
0x0b3124cc1776481af69e9b00fc15a355fbc0179f,0.000000000000000001,0.000000000000000001,12.4897,12.4897
0xba7dfd52abe67bfaff0ecae43a04331e4c87de63,0,0,12.4592,12.4592
0x6d2c09e1690cae8c2004593b9126fb66aa1dbb18,0,0,12,12
0xb8cd0819056860e3dddc719587438c9bbda81d80,0,0,11.7627,11.7627
0x375cdb7b2e426994341e05490bac1f1df3101862,0,0,11.6871,11.6871
0xba5779b50aaf0d59855fd6d53cfc9a228657a669,0,0,11.5583,11.5583
0xc61c8fb7ca5ecd5b78f371dc5ede8f5beb43ba90,0.394294563063196056,0.394294563063196056,11.4661,11.4661
0xd422379c0d066dd788d56961489bb515ef60a37f,0.000000000000000001,0.000000000000000001,10.4873,10.4873
0x2ea64e0fa509adf269738a50a2f628eef7c991f3,0,0,10.4866,10.4866
0x5c461d07e398c038db26f49cd9db1fd7ae8c8da7,10.415,10.415,10.415,10.415
0x8fca9639611dc9d1115b664678409aa378634fb0,10.3783,10.3783,10.3783,10.3783
0xbb890519c779d4c09877c289ea39ff2567b87351,0,0,10.3503,10.3503
0x653d63e4f2d7112a19f5eb993890a3f27b48ada5,0.000506356360612284,0.000506356360612284,10.3186,10.3186
0x0a81cacc9fd26f34363a415b6dd69c45ca1837e4,0,0,10.3097,10.3097
0x38278dea356e42dd7a097becc2393f908bc5ca9c,9.4128,9.4128,10.3032,10.3032
0x720b890ab5c7f24a1b484ee7ca9dada46242c80e,0,0,10.0257,10.0257
0xd6ed6be96c2bafcbadad0f4fcc5dcd1c490a4c4e,10,10,10,10
0x0a904c5c9c7dc5e171618d75a1468512a7999050,0,0,9.9175,9.9175
0x4a8103b603fca99b018d19f5bb0417ddf2e731a2,9.9,9.9,9.9,9.9
0xda609c790da282bc04eeaaee49ef88e35024bd50,9.7667,9.7667,9.7667,9.7667
0xf8f181d466d44974257f9ccf0ce8398b7e059054,9.7179,9.7179,9.7179,9.7179
0xa8de50e62d5313a93e25b1b205ead61f74f22346,0,0,9.4029,9.4029
0x48fbf9f7616b32b37947da27f63b2ed153acad12,0.000000000460260754,0.000000000460260754,9.3682,9.3682
0xc8f61bb549ed11234f646a9dbb42964b763d6ebf,0.001831180544491934,0.001831180544491934,9.1499,9.1499
0x55e397fdcfdf45544014cd6e78cf029a75390a3b,0,0,9.0637,9.0637
0x665b909c468e830c3544f073d226529866491633,0,0,9.0108,9.0108
0xd1e59809ec5daaa308cf0097edb763b5ca55c025,0.000000000913155211,0.000000000913155211,8.9857,8.9857
0x68b2cdab2930a82cdb9cff9749bb502bc9268da0,8.8562,8.8562,8.8562,8.8562
0x08d68791d8a126b29459e02c2c8d621a7c63938b,0,0,8.7569,8.7569
0x76e4614656b8767f0d16cb4b5ba599e846ebd60b,0,0,8.6643,8.6643
0x626ea6d1e5ea3fbaba22f5d4005d98e7039d0c99,0.000887704097528055,0.000887704097528055,8.4912,8.4912
0x5b5d25e62a54cbcf3de6e6410a53fbe60c4c7b97,8.117,8.117,8.117,8.117
0x7ed5c65f4f2a7275a116526337180f9a0de5952b,0.000000307754057704,0.000000307754057704,8.0487,8.0487
0x3c4bf99ebd50cf2c116d95fc4f9c258b2d1f03e5,8.0172,8.0172,8.0172,8.0172
0x2af3ad4980675682301c3fd5d4c01e2c6390210e,0,0,8,8
0x09fd1ec7f2de0f0d497fdef65361b436c7d53b83,0,0,7.855,7.855
0x511520e8250653186755c84e0baa97f5de7b3508,2.6582,2.6582,7.7909,7.7909
0xd43eac44f15d55ed381057dbee130426f570d7a6,8.5987,8.5987,7.5987,7.5987
0x17c22d6b3802527ffa28a951bdf38b79c138491d,7.501,7.501,7.501,7.501
0x6f5eea1e20e69c5db953db53267d0ab99b98bb03,7.4412,7.4412,7.4412,7.4412
0x987d484e6d51bdfd3763e71747d355a31860e45a,7.4266,7.4266,7.4266,7.4266
0x3aa667d05a6aa1115cf4a533c29bb538acd1300c,12.9436,12.9436,7.3588,7.3588
0x97cd44825204684ae3e302c2a95299ef8688f35b,5.5773,5.5773,7.3423,7.3423
