Address,Balance_28115058,Balance_USD_28115058,Balance_31244000,Balance_USD_31244000
0xfa7191d292d5633f702b0bd7e3e3bccc0e633200,5474430.1083,5474430.1083,5492314.6538,5492314.6538
0x42657c74d0fc99baf2b313cfa245a1c8e4ce1afb,0,0,72023.718,72023.718
0x944e4e8bbd2877678a0c8ffe3dd82d7ecee72f4f,26191.0504,26191.0504,26286.979,26286.979
0x62799b3b97baac306498f721079f3a9405a91e41,8269.4665,8269.4665,8269.4665,8269.4665
0x461e76a4fe9f27605d4097a646837c32f1ccc31c,7784.2309,7784.2309,7784.2309,7784.2309
0x1b5b7b514771beec3c83add7e0165166dbc77320,4700,4700,4700,4700
0xa46bba980512e328e344ce12bb969563f3429f05,2853.3379,2853.3379,3366.0122,3366.0122
0xd1dfa3c5794c4ce2e0af0bf400c6fcd59e63c18d,2311.5894,2311.5894,2311.5894,2311.5894
0x6937a767422c879a90ccb1765c0370431a87f70a,1980.4327,1980.4327,1980.4327,1980.4327
0x6081a797c051fa820fc6425595a58ffae13d1484,1932.0253,1932.0253,1932.0253,1932.0253
0x3496957d7fd7f0cdbb2cd165882f64eb471068ac,1094.7705,1094.7705,1094.7705,1094.7705
0xfa4aba07b71f18605e942a611fe5bc1f7efa5e47,954.3941,954.3941,954.3941,954.3941
0x36a87d1e3200225f881488e4aeedf25303febcae,726,726,726,726
0x1b08ab52033265a78794778eb7c1c4f7f44ce145,359.6762,359.6762,359.6762,359.6762
0x06149a7fccfa4765083307ffc409758af80d98d6,300,300,300,300
0x47b3da11eee5b7dfb3d50e9121166a1bfe42253f,100.8055,100.8055,209.7303,209.7303
0x31766cda3574378c8d3d0cf6e675bb4fffe26209,171.5674,171.5674,171.5674,171.5674
0x7b9c4c7679261f92f5ce7582a8e1c33ac9e47f2f,158.339,158.339,158.339,158.339
0x06614338cda1dc088cb267037ef396039170cfce,100.1845,100.1845,100.1845,100.1845
0xf3a60f85cb6c560188a434e8f2a134f3e967d8b8,100,100,100,100
0x7d4a03df0067d11822fffd34bc67dbdfed3b2388,99.96,99.96,99.96,99.96
0x9494d5950802446f2abdf81149cea96227861b5c,98.6351,98.6351,98.6351,98.6351
0x2d334f9ea82e04a60de15228f9169ebbcd8eea72,74.97,74.97,74.97,74.97
0x4a27594ebe4950d0b98d64e3f6ed346918e545a7,67.763,67.763,67.763,67.763
0x77f779ab2bdcd641eda87c66f6bb6dde44d449f1,60,60,60,60
0xb196ac471941e66774cf73b079f3ce3c7afca797,59.5949,59.5949,59.5949,59.5949
0x278b36c4ac799d384a316b5b90745d8ba77201ea,57.5856,57.5856,57.5856,57.5856
0xc16373b5fdb767c5c10b1ef1668649f94f925e03,41.4849,41.4849,41.4849,41.4849
0xadd898eb568a784431e03c34dd0d90e3d70e1805,33.3802,33.3802,41.0412,41.0412
0x1acbe90eccac04a663881b69b183072dc6cff566,31.8407,31.8407,31.8407,31.8407
0x0bf91b43047ed6b14464ee4d6732391a9dbe7be8,31.7625,31.7625,31.7625,31.7625
0xa6281f6d7ebb80b3eabb16f75041fbb3719c9cbf,28.3663,28.3663,28.3663,28.3663
0x5d91ba85cfbc0a3673f312f3fd0ba75a85ad73e6,24,24,24,24
0x2a18d7543d8af274e7c10f1e307696ae07779ad0,22.4494,22.4494,22.4494,22.4494
0x55a59431d47f7ccca15ef129f9f75040f1f7035c,18.9714,18.9714,18.9714,18.9714
0x871ea9af361ec1104489ed96438319b46e5fb4c6,14.89,14.89,14.89,14.89
0x9cd66c4a7b2988eca8ae9778166f770445ea6819,13.5166,13.5166,13.5166,13.5166
0xeead803a44c5f020c62800bc302deed5975b050d,12.7255,12.7255,12.7255,12.7255
0x4710aa0b93d5dc6fa89b782352862c219aabbfb3,11.0901,11.0901,11.0901,11.0901
