Address,Balance_28115058,Balance_USD_28115058,Balance_31244000,Balance_USD_31244000
0x7cc549cdef7248c11a84d718fd25eafb57d8d614,175760.8486,175760.8486,240691.0688,240691.0688
0x468dc50884962d6f81733ac0c23c04611ac219f9,35289.3958,35289.3958,66071.8495,66071.8495
0x6b27e75bffa03521fe692a170329ab2640aeaa2c,0,0,17065.27,17065.27
0x79ab40968826af557e850ddd5fbc34227381d5a9,15642.5037,15642.5037,16138.7865,16138.7865
0x7bca265e14d0184927fa7e9274fe4ad340e674dd,0.000039321522465292,0.000039321522465292,6469.9965,6469.9965
0xf138fae86983629ec923b72138834180a00039e2,0,0,2922.7057,2922.7057
0x4dbf6c1c046b927b43cc3cf9e6d2ff393a38aa98,2457.6578,2457.6578,2748.0457,2748.0457
0x0503e52a7d5e34ef51088e5995725f111cd30b3e,2186.5376,2186.5376,2186.5376,2186.5376
0xe6b2da80f37f1acd6182fb3b8049a0d343072ee4,1556.0876,1556.0876,1556.0876,1556.0876
0xdd11d5db35f52110d6c6a03778e2f822b1f79a0e,1433.4068,1433.4068,1333.4068,1333.4068
0x99704766507b87781b8af16299e319d1b8324c0d,485.8355,485.8355,1124.5246,1124.5246
0xab466b0656725be5b0fd950668884e6a893bd859,1074.4667,1074.4667,1074.4667,1074.4667
0x69cfafca9c889d6efc1acc5651ce7a5ec6cdc231,1003.3557,1003.3557,1069.776,1069.776
0x99420fd78899679c6b8e5bb815e2552aee90ee58,1034.8804,1034.8804,1034.8804,1034.8804
0x6618244141c824210dbc8ec9a95c9221c576470f,862.6876,862.6876,1002.8518,1002.8518
0x38278dea356e42dd7a097becc2393f908bc5ca9c,331.0695,331.0695,855.1461,855.1461
0x5fe453a2fec2ac1980c7fff7ae1261538e70ba4c,802.1272,802.1272,802.1272,802.1272
0x52dcf8bc28dd789daed9c30542a32e57f72cf15d,468.8301,468.8301,722.3139,722.3139
0x8041c879082b006cbf0bff4df9ce9ca4d58a30bb,707.7348,707.7348,707.7348,707.7348
0x7c54abd36cc40b988d06b1aa3a9004a3fcafef70,701.1075,701.1075,701.1075,701.1075
0x89af144adf2e0179a9a4c6bbda5a1775883e6bc1,635.4032,635.4032,635.4032,635.4032
0x0056d1fd2ca3c0f3a7b6ed6cdd1f1f104b4bf9a9,590.5928,590.5928,590.5928,590.5928
0xda640f2efbc6b46a44b7a36d9dc9b67a05c497fb,500,500,500,500
0x049382f93184c349bc87bd0a6380aef7c2515027,497.8465,497.8465,497.8465,497.8465
0xa38ebdd8fa143c9cdf2f9c385e82390f59a47abf,483.251,483.251,483.251,483.251
0x0642b605e8d3a5fb5f883c8a3c655d054a8cb309,379.089,379.089,458.2874,458.2874
0xed2fbba7741111a514a72233f65c72f2702f694b,0,0,411.3378,411.3378
0x34492240a91fde1188363f44b6cafe4dc02650ae,367.0962,367.0962,367.0962,367.0962
0x922e17606fd87baeb2c0debb856b6ad7c0d51fd6,358.69,358.69,358.69,358.69
0xfeac90ea774161d0c008ef504cb0e46d2a001fb9,0,0,350,350
0xba776910ed87bd6b73d45eaddb0542635bbb1959,0,0,336.5519,336.5519
0xdffae50260a79d24188de7cd177453285779c609,0,0,334.1367,334.1367
0xd9ac1f436715459e954e18597251f35924fb71c7,300,300,300,300
0xe6aea5f3760f5117d31daeb1f0443ed3b8e124e8,0,0,300,300
0xc56772a1fd49ec05a09184298fffef2154869fcc,271.2849,271.2849,271.2849,271.2849
0x7420983f6a9418e5381eb998f25441ec04697169,0,0,269.3579,269.3579
0x4e155adb7fde5ac03423a012ee1830eaabbebad0,264.6819,264.6819,264.6819,264.6819
0xe54f3076ab305298989a276e53d14f2a48dfc0f9,0,0,264.3748,264.3748
0x69bff560beed2d6ee330a827d6a3efb1da67cb17,261.941,261.941,261.941,261.941
0x7bfc36aa3de51906324719e0d1136819a940419b,256.3193,256.3193,256.3193,256.3193
0xaa470c4addd38c70595b50fd169a1c293cf56ab8,242.2687,242.2687,242.2687,242.2687
0x41c5d1d13443848f5583de9adb8c09ee8bfcd2e6,878.4806,878.4806,241.5956,241.5956
0xe285314342c595436ec9ce48a4e38c682bedc5a1,237.2639,237.2639,237.2639,237.2639
0x36993fbc564ec8eee82565dadabfbdd8aaf32689,0.575386721155403524,0.575386721155403524,237.0288,237.0288
0xc8af3fe471f0dcab6996ba1a84e94dd84b3ab9d6,230.0188,230.0188,230.0188,230.0188
0x45bb24c89c3e355f25fdfa6b9e20f63e5b7151b1,0,0,220.1673,220.1673
0xf6d46e0db774d50b84e2a799219f6868e31f7ad9,0,0,217.9175,217.9175
0xbd20f0fa812a06b6f97ce048c91d97720891f87d,216.416,216.416,216.416,216.416
0xacb177236a334d05dc61933b483c23e20ceb6b9b,200,200,200,200
0x869f790f7ca2d5e42d826ba9e9e8658857207d64,200,200,200,200
0x028f04c6c86c6b5d9ffc249be4a495e855e321a3,197.537,197.537,197.537,197.537
0xabce6a395644fbd11aae3b65e5a5d6495c8bdb44,197.1741,197.1741,197.1741,197.1741
0x2cd08edb71bb610da6a932ac2e2228e5609616b8,193.7527,193.7527,193.7527,193.7527
0xa6ea1f19ba1f1fa080d6b48910a5c32de06ff780,149.1206,149.1206,193.138,193.138
0x89a150aa4c61a38616c3d1804501f66e1508374a,165,165,165,165
0xc49f96593a14bd4f832203a1e234ef14a468ba90,30.3379,30.3379,157.9795,157.9795
0x078edd760ff5b5b4604fb338d3cf7b6d5355c7ec,152.3894,152.3894,152.3894,152.3894
0xf439806e0cd051c9c68cf3f8738eaa0f02900e88,150.0647,150.0647,150.0647,150.0647
0x399ee5f06c5b725ead43cb289938cc0b5272eba1,149.6812,149.6812,149.6812,149.6812
0xf52845fc8e5e8b176ac4430737941784d7e45b9d,147.9176,147.9176,147.9176,147.9176
0x8f2f3afc713a2399f1872470fb52bc7f0bdccb89,147.4892,147.4892,147.4892,147.4892
0x2e0cf7b6f686d88a51ffbb5fe1f4de56af6e6ac7,145.6791,145.6791,145.6791,145.6791
0xf7e64bffe010dbfa9befeb2802cba88afae77fe7,140.0925,140.0925,140.0925,140.0925
0x53f2f84f7829e2d4f9c024f7bedb06609dab5ac5,138.48,138.48,138.48,138.48
0x76978135d60d7a85dbf76d27d75924c8cf61ee55,136.4583,136.4583,136.4583,136.4583
0x30383e7eab37ea53600605f056701f6e10de6d56,0,0,135.14,135.14
0x56d7d8b5cab4a7cfc8df476bc00430751d5783eb,133.4909,133.4909,133.4909,133.4909
0xe676eeed9e2552dad060efda8805de76f9ea58a7,132.6237,132.6237,132.6237,132.6237
0x3d612b36274dcb4ba42df0ab8c513f8f5baaf7e0,132.346,132.346,132.346,132.346
0xd42913e79469fae403055560c08611cf66907b01,349.7136,349.7136,128.788,128.788
0x1da9c3bb2ccce2baf479b3ca35c32bc4a58fc0de,123.8599,123.8599,123.8599,123.8599
0x7c5361f5bb5e2bb123c95e69bed331f3b0b8f094,0,0,118.9111,118.9111
0x5ca1e81bd97c7503bc1fe0be1291ae0e68e8f819,117.0508,117.0508,117.0508,117.0508
0xfb3381bdd5b2ed0b9c18dc1bfcb80246ae89e3c3,114.7147,114.7147,114.7147,114.7147
0x8cbc75d483a31bbcf359a50e2440a3eb958503c1,33.51,33.51,109.8259,109.8259
0x4ec6fbe8c88e0f2276e7b6856e53d087767d470e,102.2761,102.2761,102.2761,102.2761
0x239c427908357bcbf8510feb90d46be0911f63a2,92.8795,92.8795,101.0464,101.0464
0x68ed42c1a9971174b3399bbdc78e9aa457254798,100.9719,100.9719,100.9719,100.9719
0xe023d9e6b7a524ac6f4d8722230535d3f586e270,100.913,100.913,100.913,100.913
0x9d34e69ec7cbac91f5d86b4839b0e5ccd5069775,98.8403,98.8403,98.8403,98.8403
0x82fdff53547141d1a4439b0bfef34ffd366e77dc,43.4566,43.4566,97.7236,97.7236
0x4ce135d8bee3b17ab4872df0d2e99c95b7ef792f,95.66,95.66,95.66,95.66
0xa24dfe1d5045da55830a99ea2d820943db7dcae9,0,0,93.292,93.292
0x4c7a30d022ced91a6dffa80642d5ec7248569db5,54.0813,54.0813,92.4061,92.4061
0xeaeb463d658f26d339f415be7f33ada2d5c6cfae,0,0,92.3979,92.3979
0xba4204e37ff54cc7129979fe9482dacd1fc4ead2,92.2084,92.2084,92.2084,92.2084
0x4d1cc1d241adc4fb7546670ca34a74f243a18779,88.1705,88.1705,88.1705,88.1705
0xc789528d5b0dfff32c4dea2cbe44a24266f81970,83.432,83.432,83.432,83.432
0x5aad840fe2a7ceeabc304f1def6699dc4ef3f705,81.5456,81.5456,81.5456,81.5456
0x814d0ca29a9cff1c67254253d08bbb25d1a3da04,78.1903,78.1903,78.1903,78.1903
0x3947d4b931f5a62efa44bb66f991449d424fde1e,77.9103,77.9103,77.9103,77.9103
0xa4436c88ab31812d1f4d066ec83ac6530ef8b4d9,0,0,76.9915,76.9915
0x5f763818b45f7bfb2f840f7c13152d1783c9da8d,73.3619,73.3619,73.3619,73.3619
0x4f47ae74b35276c36b2dca63899b8c46331bd881,73.285,73.285,73.285,73.285
0xd1c99ee12d2b0a84f4d11b4b0b19b4cfacbb01f7,71.8811,71.8811,71.8811,71.8811
0xb258fe7c28dbc4dac93ecf65359ffe468b69a265,69.7001,69.7001,69.7001,69.7001
0x82ad9768e5129784938e1d6ba1b1ea94c0d56003,68.1945,68.1945,68.1945,68.1945
0xc10ff4c96e9779b5776e7a27cd3a86c9fb1c1535,67.3345,67.3345,67.3345,67.3345
0x86ab846eab1db8ed6f410cbc7c5497de0b7b4536,66.5037,66.5037,66.5037,66.5037
0x5d2238753f3ca5e649f9250c303d5c196a069f24,40.4908,40.4908,66.1585,66.1585
0x0bb45858862c34fa09b5f5ea7d376219824c8192,11.7157,11.7157,62.6627,62.6627
0x5f48ee87bae3522143ee4a18ff25ce83d362da8d,62.4277,62.4277,62.4277,62.4277
0x5c3331e790f048ddcdd63787524be4e13a06e6d7,61.8259,61.8259,61.8259,61.8259
0x1d1d57cf02c22294779384c597ec675e8fae31f7,61.3044,61.3044,61.3044,61.3044
0x0c84666a9e19662269f924e5112304d1edf39b02,60.6627,60.6627,60.6627,60.6627
0x8310d078684efe5b91728add034fcde73ca0e6ee,180.0416,180.0416,60.1634,60.1634
0xfa3eb2d725b5997bfcd7fc324b41a7cc24a655fd,59.5797,59.5797,59.5797,59.5797
0x72c2c890625f7e2ec82a49a5b0d6438c36fc1bb5,59.4656,59.4656,59.4656,59.4656
0x89d21700bf8a0fb607db21f314ce2762144b426f,24.9689,24.9689,59.1058,59.1058
0x30e3784b28332b7cb268988f9e81eeff9e3bf2dc,57.6502,57.6502,57.6502,57.6502
0x9a0ecd7486dc544c4b6adfe33dc18322b08cf60d,57.3231,57.3231,57.3231,57.3231
0xbd44a31739cbfb541b3f43992d1f3dcd762a3211,55.9564,55.9564,55.9564,55.9564
0xc1983926cab280597c4106cad0470ab121e3af7f,55.7113,55.7113,55.7113,55.7113
0x2b903b8eb1bf9b7290cd5a7b76540877ca9f85b1,55.6719,55.6719,55.6719,55.6719
0x3f9a9caf2e39f3ee6788f708617d06ca07194faa,46.5884,46.5884,54.6342,54.6342
0xe967b2771941283e2926a949aeec9e195b0fe14f,0,0,53.7787,53.7787
0x1fe644d88e06bcfd462667bc56bbdba05b8efce7,53.749,53.749,53.749,53.749
0x3adf1972d11a7e018e623a201c9c236f91eaadd5,53.5217,53.5217,53.5217,53.5217
0x25c99bad662af28bce295987d7673c46d42a11a5,53.4328,53.4328,53.4328,53.4328
0xf49fa78811053ca6eac929683199584527622514,52.7423,52.7423,52.7423,52.7423
0x20eaece26140e6be39a5828024e02eccececd9c9,51.3707,51.3707,51.3707,51.3707
0xd143ed1ae715fb149cb2356ca18138e29d308e72,50.8559,50.8559,50.8559,50.8559
0x339f3b1644f3e04bf903a92b5ef76bb1600b03ee,50.5542,50.5542,50.5542,50.5542
0x8df82a65240bbf879ba93d4f760f6e61fc9276ce,50.2533,50.2533,50.2533,50.2533
0x5775dd737c0749702efa85a263e657516ed552fb,0,0,50,50
0x96a50f0fa918f4a614f546046c154d481c427deb,0,0,47.7414,47.7414
0x53d7b4dc5d15e57b7260d847bfa7a85cd39238ac,47.2207,47.2207,47.2207,47.2207
0x3e880db87082197292e2a7447f2c39a3c55e0a8a,47.1615,47.1615,47.1615,47.1615
0x00bbc8e5448ab8a62fff5fd6e8f6dfc94ad1cccc,27.6356,27.6356,46.6452,46.6452
0x476fdec56c4fba11ffa5273ecb0c530e87ba9ae6,46.4973,46.4973,46.4973,46.4973
0x0ebf0252ed21d7bd13699ffb109c7f16f1bc14f0,45.6065,45.6065,45.6065,45.6065
0xf2a20e9e788d578dac78208b3bae4cbd53713061,44.881,44.881,44.881,44.881
0x5c90ce5f9d84b6011385ae01366c5726c39bf23a,43.9797,43.9797,43.9797,43.9797
0xad3769b39d5780997c18f3c9645a8fa2fa0557aa,0,0,43.4845,43.4845
0x23a37a07845c887dc65d76052d8105d5f67402f7,43.3014,43.3014,43.3014,43.3014
0x3aa667d05a6aa1115cf4a533c29bb538acd1300c,0.001990718920179765,0.001990718920179765,42.9612,42.9612
0x2c362fd5bd900b73c4bf140b7cd6875a56b0e7b6,42.7226,42.7226,42.7226,42.7226
