Address,Balance_28115058,Balance_USD_28115058,Balance_31244000,Balance_USD_31244000
0x78a21c1d3ed53a82d4247b9ee5bf001f4620ceec,2483385.7186,2483385.7186,3540450.5108,3540450.5108
0xf758e719d88862f87585f20acc81417cae72df22,0.4975,0.4975,1967000,1967000
0xca3e902efdb2a410c952fd3e4ac38d7dbdcb8e96,4160251.7175,4160251.7175,1552270.7855,1552270.7855
0xa1221a5bbea699f507cc00bdedea05b5d2e32eba,698963.6098,698963.6098,1285418.7048,1285418.7048
0x625e7708f30ca75bfd92586e17077590c60eb4cd,1058748.2352,1058748.2352,1125315.2867,1125315.2867
0x5180db0237291a6449dda9ed33ad90a38787621c,900.6264,900.6264,950590.2717,950590.2717
0x7cc549cdef7248c11a84d718fd25eafb57d8d614,130029.4546,130029.4546,912628.1728,912628.1728
0xcf839e0c444021b03db480f21486ae9f85336be0,0.005555,0.005555,815118.986,815118.986
0xef798f50fb24efc00056f4bb38c0fdb43c6ef679,7301.4076,7301.4076,721559.6466,721559.6466
0xc0f9a35840c4e19d47dde00d7617f9a5f26b4a1a,0,0,714328.85,714328.85
0xbf255d8c30dbab84ea42110ea7dc870f01c0013a,541574.1117,541574.1117,694767.4773,694767.4773
0x27f0bcb74822df54f36151434999cbc8db07d4d9,571735.8714,571735.8714,686306.3432,686306.3432
0xfb6897d124cc8e318a20a4db1b5b0b637993bbab,0,0,677635.5592,677635.5592
0x66c17f5381d7821385974783be34c9b31f75eb78,960214.7251,960214.7251,627188.652,627188.652
0xb50421ddf9241c8998bf1e68cf6c479dadce8aa3,0,0,565481.7675,565481.7675
0x4a8103b603fca99b018d19f5bb0417ddf2e731a2,496353.8347,496353.8347,496353.8347,496353.8347
0x16cc395efb25a4c162ebc2d57c81b5bba23f5ad6,490962.9063,490962.9063,490962.9063,490962.9063
0x6139854ffa5c9fb2fa27ea1a6654eaeec88f8f8f,3390.5839,3390.5839,398802.379,398802.379
