Address,Balance_28115058,Balance_USD_28115058,Balance_31244000,Balance_USD_31244000
0x7cc549cdef7248c11a84d718fd25eafb57d8d614,1900001.7007,1900001.7007,2504692.8583,2504692.8583
0x7bca265e14d0184927fa7e9274fe4ad340e674dd,0,0,841907.4402,841907.4402
0xf71b335a1d9449c381d867f4172fc1bb3d2bfb7b,673066.45,673066.45,753066.4641,753066.4641
0x7af2430efa179db0e76257e5208bcaf2407b2468,868192.2987,868192.2987,589414.4679,589414.4679
0xc5cfada84e902ad92dd40194f0883ad49639b023,1037003.1128,1037003.1128,468871.524,468871.524
0x3ea9b0ab55f34fb188824ee288ceaefc63cf908e,1579057.2306,1579057.2306,465265.2758,465265.2758
0x13b0a18505a7c03aae841c527ecbe72836275e54,0,0,395224.2042,395224.2042
0xf758e719d88862f87585f20acc81417cae72df22,0,0,327677.6307,327677.6307
0x2c7862b408bb3dbff277110ffde1b4eaa45c692a,547265.8248,547265.8248,314185.6359,314185.6359
0x000c4244cc0b42a99f02f7509134378b8c244aa2,0,0,264965.4063,264965.4063
0xd31ca9f6adf448a0757314a282a08be5d3accbad,241000,241000,241000,241000
0x0c51171b913db10ade3fd625548e69c9c63afb96,168248.8108,168248.8108,161720.294,161720.294
0x76e4614656b8767f0d16cb4b5ba599e846ebd60b,5857.6851,5857.6851,158376.2918,158376.2918
0x6618244141c824210dbc8ec9a95c9221c576470f,151687.5865,151687.5865,151687.5865,151687.5865
0xfb3381bdd5b2ed0b9c18dc1bfcb80246ae89e3c3,0,0,118235.5306,118235.5306
0x9c68ddcc8f821888daad51b5b37d5125c6607395,0,0,70059.9378,70059.9378
0xbdeba482d2f8a664b4f055e46452eea9482e0484,0,0,70000,70000
0x2fb93785e3f167c9f4856c22c42814b311eafce9,10.0457,10.0457,67816.6372,67816.6372
0xf118e5ee200bca04ace5eeb6c1c322b74b3d9d9e,0,0,57843.8564,57843.8564
0x56cb67c66323486c19dcb9b0c25af376c8ede098,0,0,54906.9863,54906.9863
0x784adba4b359b6cf7a795632fd8df764cb828315,54837.3715,54837.3715,54837.3715,54837.3715
0xb873bcf80afa89c2a9e5182f5792d64a03eb4311,0.197925,0.197925,50929.8658,50929.8658
0xa919538ceab5c64608945865835dbc10540feb1d,0,0,50598.1008,50598.1008
0xa166c334023847835830bdaf03e7454cd9c79424,40999.564,40999.564,42581.0318,42581.0318
0xf63c07113425072b936242ef3d20c4a3a9e5f8f0,356.1359,356.1359,42285.7247,42285.7247
0xed80c99570b12a4af185fca1c68ff269c010e8c6,0,0,40952.1923,40952.1923
0x4fe3f942cbe2129c744539d55f36d17b375c2eda,0,0,39846.3564,39846.3564
0x0ce905922e4310300006513d2462737b281530bf,0,0,38000,38000
0x61837677069b5336631d6f368b1572720a789b75,0,0,34082.2341,34082.2341
0xc7d787a03589f440f29d6ce25f3c4cae9ff75a7c,0,0,32216.4876,32216.4876
0x8980c98f134094ebca8c9573afe91fa4a7cf2a71,0,0,28324.7873,28324.7873
0x5fbb7054e9b25ea4b993b3273cae920f9beafe3b,0,0,28275.1004,28275.1004
0x15f311af257d6e8520ebf29eae5ba76c4dd45c6a,0,0,27286.3982,27286.3982
0x916af1f7156e5abeb49be7c13bfffe75bacc916b,1002.4715,1002.4715,23043.0658,23043.0658
0x9ca93c52e5d4c9f0f8dcae366a491ff73764b5fd,22000,22000,22000,22000
0xf60d20f4f1c4a4cefd73d621a76161fadf356c88,20816.4607,20816.4607,20816.4607,20816.4607
0x44c994cf51c0197a044fbcda253be3899d21777f,0,0,20323.7184,20323.7184
0x8b159487040020fe37fdd9d7c79c8afc16f1d1e7,19943.1941,19943.1941,19943.1941,19943.1941
0xf1b6d73511b6edf901488e900b2dc8b68c4b0826,19898.7563,19898.7563,19898.7563,19898.7563
0xffba0a32ee525a90d5f900223600dff5c2d9d5b1,16909.7513,16909.7513,16909.7513,16909.7513
0x449a9c8bba66a178da178896cb9c06c33e4b2a59,16480.4086,16480.4086,16480.4086,16480.4086
0xd15aaacddf4b72ba8fc5c41fc4b03f05aa73385c,0,0,15638.4125,15638.4125
0x1b5b7b514771beec3c83add7e0165166dbc77320,15428.208,15428.208,15428.208,15428.208
0x85684d73db2b1432b35616e060487d28aca48edd,123.9686,123.9686,15231.3148,15231.3148
0xb50f2b51ff2a9d5aaf9fee0377987e0d51bba65d,1021.5999,1021.5999,15134.0209,15134.0209
0xaa7d5efc4bd08fc10c14e9d1e09ef961e7236e35,0,0,13513.4782,13513.4782
0x531f66c64392980c12805c8899ad4169b84264ef,0,0,13460.5052,13460.5052
0x1a543f44551f165a84c4ff046f5189e099f7b8e4,6206.8405,6206.8405,13453.2618,13453.2618
0xd2c1cf05ac21cf1d88edc3a8847532fa030ee95b,0,0,13189.8122,13189.8122
0x72e187d0d8f49b0ed04de8da17ac8a703c0341fb,0,0,12832.0392,12832.0392
0x53480228795dcf09182c2cd29cbef922efd404ba,12806.3226,12806.3226,12806.3226,12806.3226
0x10a3739ed4963aedd3fd26b4440cfa01f0262553,190.08,190.08,12501.6182,12501.6182
0x2f45b4c0c23751339a4f95a7d91f22ea311aa7ea,0.678413,0.678413,12250.3559,12250.3559
0xaa9955c426ba2b7511f5618edda68ab8393d122a,0,0,12043.7987,12043.7987
0xa6ea1f19ba1f1fa080d6b48910a5c32de06ff780,30.1159,30.1159,11875.0738,11875.0738
0x242b9da1be37184a3ed8135cc0e80e56d9c6bb60,0,0,11811.9362,11811.9362
0x2a149dc9a2d3517029209572c60f1c1c434656a2,11765.821,11765.821,11765.821,11765.821
0xef5bad176fb6319395e74b6e74caf43b0f5a613b,11518.2709,11518.2709,11518.2709,11518.2709
0x6082b1d4603eebe1dfea8efcd9ae9654da7f7545,10915.9043,10915.9043,10915.9043,10915.9043
0x0c3cc503eae928ed6b5b01b8a9ee8de2855d03ac,10663.2936,10663.2936,10663.2936,10663.2936
0xf0ef94b80bb0a2e6a62bbaa3dba27313f44561fc,0,0,10622.233,10622.233
0x4077b8235282309c6dc453a73b3ec2777efc5267,0,0,10607.0442,10607.0442
0xf7c86a5e1323e6efb954b2e65ebba9c300c40f38,82783.5817,82783.5817,10360.4074,10360.4074
0x4bc554eb08d24098660727102d2272fb202e1cbe,10324.6795,10324.6795,10324.6795,10324.6795
0x80e24339e0b4361b44b68c3f63cc3cb521528816,0,0,10009.6829,10009.6829
0x7ed344a6d73b771dff53c0cec4c70f081cacb360,0,0,10000.0654,10000.0654
0x38d3f3de762da60f15422ee1e14cc21fccdfc1bf,9995.5118,9995.5118,9995.5118,9995.5118
0x194ce28bb2c92bb89059b187f6aa19eb9fcd8d6a,0,0,9794.8921,9794.8921
0xafc4704a390545d14b14d133312998dd8b7b11e3,9789.1128,9789.1128,9789.1128,9789.1128
0xad45f74009c9750598d663cda52459258fec5062,0,0,9135.6729,9135.6729
0x4cbfaaf30c536f42c624a4fd627ad00fb785e20f,0.554387,0.554387,9001.0382,9001.0382
0xf6375dfc21fe28f10f8fad6e74549c76f5de62d1,8960.1322,8960.1322,8960.1322,8960.1322
0x9972d9be3792cff6270e3a65fc833800bda2d6a7,8672.9694,8672.9694,8672.9694,8672.9694
0x7708f37244e2f1ec5c45df1a4d0c8c9d5f7d3122,0,0,8651.7113,8651.7113
0x98dd1090a3f2aa5f103761b56f7c74b55f7a7584,0,0,8486,8486
0xdcf5fe3492dfdb31e8d4e953cc1510d85ae001e0,0,0,8217.6386,8217.6386
0x1699f115ee278e4681ef1867113054ff05262ab6,2889.1618,2889.1618,7956.3579,7956.3579
0xd016fcdfb3bd8d640cf355bfacfd3bb1955543d5,0,0,7788.8614,7788.8614
