Address,Balance_28115058,Balance_USD_28115058,Balance_31244000,Balance_USD_31244000
0x7cc549cdef7248c11a84d718fd25eafb57d8d614,0.00800398,0.00800398,159.996,159.996
0x9f9c458a44229a16d4b04f9f75e7460156f6ec23,0,0,105.7257,105.7257
0xd9c0d8ad06abe10ab29655ff98dcaaa0e059184a,205.7234,205.7234,43.2175,43.2175
0x3fddb5cf1e8e5696e1c76bf15f454e04cf161c66,20.4071,20.4071,20.4071,20.4071
0x1507ae2c7db7c4a1078eb1b3847b4aa33cfc586a,7.2832,7.2832,20,20
0x0acce15d05b4ba4dbedfd7afd51ea4fa1592f75e,13.0055,13.0055,17.2937,17.2937
0x997f00485b238c83f7e58c2ea1866dfd79f04a4b,93.355,93.355,16.6175,16.6175
0x6b27e75bffa03521fe692a170329ab2640aeaa2c,0,0,11.232,11.232
0xc63a28c1198171bd9f3667d86f139cf09e9b5059,7.4633,7.4633,7.3633,7.3633
0x28eb57a22fd804e3361f1187090eb2fc1bbd9bd6,7.3583,7.3583,7.3583,7.3583
0x04fc8679ed5475979f7d4930fedbd1c82e79db3a,1.7118,1.7118,6.2892,6.2892
0x0e3dc2bcbfea84072a0c794b7653d3db364154e0,8.7302,8.7302,6.2314,6.2314
0x79ab40968826af557e850ddd5fbc34227381d5a9,0,0,6.0541,6.0541
0xa7b20eeda7cd9c486f2bd9c32d2a0d0772e9ce83,0.00016266,0.00016266,5.4652,5.4652
0x078f358208685046a11c85e8ad32895ded33a249,8.2952,8.2952,5.2212,5.2212
0x0b3124cc1776481af69e9b00fc15a355fbc0179f,0.00000001,0.00000001,4.8767,4.8767
0xc3670b927ef42eed252e483e2446352c238d9905,3.8403,3.8403,4.1276,4.1276
0x02b79df8c38f29f39888557c0a89917fd99ddf77,0,0,3.6901,3.6901
0xbf57f59d35124f071001fc9185e5169a7c44da1b,0,0,3.6673,3.6673
0x85684d73db2b1432b35616e060487d28aca48edd,0.08362921,0.08362921,3.2393,3.2393
0x6ca68d6df270a047b12ba8405ec688b5df42d50c,3.0492,3.0492,3.0492,3.0492
0x9b7790a4eb52d2ab7b94aee7f531eab3db181e0d,0,0,2.544,2.544
0x39be7c95276954a6f7070f9baa38db2123691ed0,112.9679,112.9679,2.4383,2.4383
0xe44799ef334df157e0f8e2855e5ebebdbc02b299,0.00000044,0.00000044,2.1896,2.1896
0x13b0a18505a7c03aae841c527ecbe72836275e54,0,0,2.1759,2.1759
0x28bd56f0e479bf37fde5c5c882357c0d2831c114,0,0,2.147,2.147
0xf8f181d466d44974257f9ccf0ce8398b7e059054,2.0984,2.0984,2.0989,2.0989
0x48c2112ea0b29a7eed6ebcf1da10e53da40af45b,0,0,2.0891,2.0891
0x5d1248f6a088896a3cbe344d5be99d7c8b721966,0,0,2,2
0x69ca521fcfe0780a3bc0330fa59c962de5af882a,0,0,1.9786,1.9786
0xec915a5ba226c76cbb6b122deac1d82fc14c1c8e,0.00039014,0.00039014,1.8672,1.8672
0x4a8103b603fca99b018d19f5bb0417ddf2e731a2,1.727,1.727,1.727,1.727
0x4077b8235282309c6dc453a73b3ec2777efc5267,0,0,1.6584,1.6584
0xb81ca6054f5465da3719f69e0af505de17780fc2,0,0,1.6407,1.6407
0x6333dd17adb9171bbdf7604292490d9b75847561,0.39113811,0.39113811,1.5954,1.5954
0xa1bea1ebbf9f7f2b09f2ec9e542eec48a6213144,1.5919,1.5919,1.5919,1.5919
0x7e634ad011c48f686cd58a124dd2efc7a6a660ae,0.49397115,0.49397115,1.4528,1.4528
