Address,Balance_28115058,Balance_USD_28115058,Balance_31244000,Balance_USD_31244000
0x0de8e70e94f4761dc5baf5833d0f13eb9fd93620,8.3043,8.3043,8.3043,8.3043
0xf229ba1b371517b17229f79e3e305101fd09f8f8,5,5,5,5
0xebe04d725cd4221a571e3050399a025db3194994,3.6355,3.6355,3.6355,3.6355
0x38092d17d3641b6fa49668775948af71b430765e,2.2723,2.2723,2.2723,2.2723
0x607ebc72f74e00a348b77358b3da31b31ecfad44,2,2,2,2
0xfbeb6069da1fcc1ab0114658fad1bcb0e39d2615,1.8,1.8,1.8,1.8
0x4e58bc8a566394043f7280aecfaded29ca4a4104,1.8,1.8,1.8,1.8
0x1a68d208c904b978403f896988b2222903ff8302,1.164,1.164,1.164,1.164
0x62cfcb875823e91d43406cda9f1b5b2b86ab22fe,1.05,1.05,1.05,1.05
0xa887bcd12c2426357020a4cbea5e54156a3692b8,1,1,1,1
0x9a3e8c40704dfb7a36d022ef54bee9d6f6f4a1a1,1,1,1,1
0x9429614ccabfb2b24f444f33ede29d4575ebcdd1,1,1,1,1
0x30cd651a7e1e2eb06f419586cc996cba1e2ea733,1,1,1,1
0xe039fa5f8b0983c7c40a8551362d02bcca954a65,0.570381,0.570381,0.570381,0.570381
0xd555e96dcbebaa4920edf28725e5dcfa776c67e6,0.5,0.5,0.5,0.5
0x6494cebb81e36b25a881df715ac7e59526c20401,0.44756,0.44756,0.44756,0.44756
0xb7ca57344dde875ee0566b702f005dace7d6d9be,0.3,0.3,0.3,0.3
0x6797c2b684ae8dd9fae54f8e19206d4bfb775e7e,0.25,0.25,0.25,0.25
0x2705045ef16d185a84aef570cddde535a0a95d1f,0.25,0.25,0.25,0.25
0x1ce2304369d957fc1f0dd32c983f445e449f4c7a,0.25,0.25,0.25,0.25
0x33549b8798c0eff18187bfc4a86d4ed6b536d07a,0.248999,0.248999,0.248999,0.248999
0x06131702f492082f0f9068c8c53b21451e06283c,0.23,0.23,0.23,0.23
