Address,Balance_28115058,Balance_USD_28115058,Balance_31244000,Balance_USD_31244000
0x1507ae2c7db7c4a1078eb1b3847b4aa33cfc586a,3094.4154,3094.4154,2805.4154,2805.4154
0xe7d0116dd1dbbba2efbad58f097d1ffbbedc4923,666.8303,666.8303,654.6339,654.6339
0x0b3124cc1776481af69e9b00fc15a355fbc0179f,0.000000000000000001,0.000000000000000001,97.9707,97.9707
0x6b27e75bffa03521fe692a170329ab2640aeaa2c,0,0,76.377,76.377
0x986fdc9948b185d61941384acf196399f12eb756,50.6259,50.6259,59.5769,59.5769
0x2e7669f61ea77f02445a015fbdcfe2de47083e02,0.000000000000000001,0.000000000000000001,51.2768,51.2768
0x52079cb2859d58444b368a2506e9ec0b2ff7e777,0,0,38.9871,38.9871
0x6333dd17adb9171bbdf7604292490d9b75847561,51.2172,51.2172,36.2172,36.2172
0xf43257df6b2066c866ceee61218ee1ee50d3be6f,32.4041,32.4041,32.4562,32.4562
0x76cb177a51050f24f02141268d2ce50e74302c8d,24.1573,24.1573,24.1573,24.1573
0xf9629f80df22ca6bea62aaf40b5adf4ac75e884f,15.5383,15.5383,23.5447,23.5447
0x2467e39c9b88eb10e050cafb3bffc4dcdd544204,23.34,23.34,23.34,23.34
0x992e36381ed8ea2ace06795a512e230d67a569f5,0.000000109310570926,0.000000109310570926,22.6537,22.6537
0xb5b864f447a2cb2e977e0b808f00b8dd354e5a7f,0.000000000000000001,0.000000000000000001,21.4314,21.4314
0x53ed0aac3eaf3e6093cf37c3283009ddc2949f6f,0.000000270310276692,0.000000270310276692,20.2883,20.2883
0xb1f6e61e1e113625593a22fa6aa94f8052bc39e0,19.9295,19.9295,19.9295,19.9295
0x71249f442da06793725da4791373801a9aeb14b5,19.8711,19.8711,19.8711,19.8711
0xcfb1601e7c5ed344e19b22f5eb006c8fd0079bb8,0.000000947248889856,0.000000947248889856,19.5811,19.5811
0x02a0176f54c4028f9d3175fd3331751a29c4ed01,0,0,19.4672,19.4672
0xa6426246bc8b9df94f197dd139ffe2c041db7dac,7.3529,7.3529,17.4155,17.4155
0xceac823ba42bf2d22b011fcaa2022b3a960402d1,0.000000000000000001,0.000000000000000001,15.3798,15.3798
0xbcde396ba5b61b07b0df9b241a77ecb8150b9079,0,0,15.3374,15.3374
0x682013228a28e63f3d85137e6ec92a4973a6f5df,15.1,15.1,15.1,15.1
0x1a1928dce6f60dd50658a98e4d13169bbcac53e3,14.88,14.88,14.88,14.88
0x07698da11edefd67fc3eab7a2cd694dec2e23529,0.000000272078003879,0.000000272078003879,13.0245,13.0245
0x7718e1d715e5125fbfc72c5b7ba7c4112e99e0e3,0.000000248707026378,0.000000248707026378,12.9501,12.9501
0x272987bb318998e9fc8893a263329e3065349df2,11.9788,11.9788,11.9788,11.9788
0x7e7cc9344ec2c8ed141c5a45364e08327fbc99f3,0.000000000000000001,0.000000000000000001,11.0291,11.0291
0x6626813747e9f3215b411718070aca1b1ea64cb8,0,0,10.9777,10.9777
0xc39d86610dd04c2d9baa043eff9d06c66547b06c,0.000000000000000001,0.000000000000000001,10.479,10.479
0x96096eaf9963a9bbad7c4d807df21421c2a7c0cc,10,10,10,10
