Address,Balance_28115058,Balance_USD_28115058,Balance_31244000,Balance_USD_31244000
0x27afd3e88f1099f8573ad98923aa4687b88f45b1,141520,141520,141520,141520
0x4b2343ccf2f882942514084f29bd92950752aab3,70412.6782,70412.6782,63273.1032,63273.1032
0xb30b8e68d4c57a19fcd4e4d25cfccfdcc2ff1d28,20871.1206,20871.1206,54197.0122,54197.0122
0xda64f9053a971531a75071a729a6432fb65ed60d,70464.2096,70464.2096,32842.4373,32842.4373
0x6618244141c824210dbc8ec9a95c9221c576470f,0,0,17334.5832,17334.5832
0xb5ac9a645559fb2a25bd18a98f5be962c9dbcec7,18761.0347,18761.0347,15755.6146,15755.6146
0x6333dd17adb9171bbdf7604292490d9b75847561,6624.5221,6624.5221,11873.1778,11873.1778
0x8e8600cf8b6287b8c3876c056700923249d27821,10055.9144,10055.9144,10055.9144,10055.9144
0xd2d94cda8c29f96d879fc8c0cd09a6f224beeb9e,3338.7232,3338.7232,8848.2115,8848.2115
0xcc159bcb6a466da442d254ad934125f05dab66b5,7831.076,7831.076,7831.076,7831.076
0xebf829c64e2d2102879246759bb7591247b812a5,5780.104,5780.104,6709.2738,6709.2738
0x2fb0fa5f4d66f9662dffd1b20f87852fa8e0ee46,993.3492,993.3492,6698.2134,6698.2134
0xc0dfcfba8436f9d723c590f5bc3e43ebae15eee7,0,0,6546.1855,6546.1855
0x23483b594960181e92c970d1b51f5c931d311340,5999,5999,5999,5999
0x0ab43550a6915f9f67d0c454c2e90385e6497eaa,5537.0997,5537.0997,5537.0997,5537.0997
0x50d710e8b067fd81d35cea44f5d22e41479ab18e,0.667504777265518186,0.667504777265518186,5120.6758,5120.6758
0x02a0176f54c4028f9d3175fd3331751a29c4ed01,0,0,5034.0119,5034.0119
0x127b86f7e2d50a223d65c7cca54e16451f8f28d3,5007.6089,5007.6089,5007.6089,5007.6089
0x7214512228236d5957e531e22a2cbe235e55ca31,5000,5000,5000,5000
0x3af4a3d023a34b3111e574b5412e5e3288b3cfd7,4713,4713,4713,4713
0x8d517a9a68fb9692c195858b2a1afc2bb8f5ef22,4700,4700,4700,4700
0x76dbee9c2c7ee50562fd7b8905ca3d2d5b90cc12,801.4977,801.4977,4000.0633,4000.0633
0xeecb4bf9b0b3250d78101089cdeef954ad61d0ac,3944.8017,3944.8017,3944.8017,3944.8017
0x2f7d2d0e75c01720eaaf680cfe5c5532a09cdc7e,3902,3902,3902,3902
